onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
258.742	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
265.7679	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
266.7835	1	10	1	4524.2	1	0.6	0.53151	0.1	0.03125	1
271.3121	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
275.7074	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
279.7198	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
281.7344	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
282.75	1	10	2	2758.7	1	0.7	0.69308	0.5	0.95052	2
285.5137	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
288.2608	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
292.2732	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
294.2878	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
295.3034	1	10	1	3461.4	1	0.6	0.028031	0.8	0.54205	3
298.783	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
302.9619	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
306.9744	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
308.9889	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
310.0045	1	10	2	2576.4	1	0.5	0.44132	0.3	0.041319	4
312.5851	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
316.8306	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
320.843	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
322.8576	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
323.8731	1	10	2	2589.4	1	0	0	0.4	0.4	1
326.4704	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
329.2009	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
336.2268	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
337.2423	1	10	1	2246	1	0	0	0.4	0.4	2
339.5066	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
342.2371	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
346.2495	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
347.2651	1	10	1	932.6	1	0	0	0.9	0.9	3
348.2141	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
351.6771	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
355.6895	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
356.7051	1	10	1	1729.3	1	0	0	0.9	0.9	4
358.4366	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
362.0161	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
366.0286	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
367.0442	1	10	2	2106.2	1	0.4	0.28966	0.3	0.026437	1
369.1586	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
372.2054	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
376.2178	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
378.2323	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
379.2479	1	10	1	2389.9	1	0.6	0.042335	0.9	0.8135	2
381.6454	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
385.6578	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
389.6702	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
394.6983	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
395.7139	1	10	1	2492.1	1	0.7	0.41577	0.1	0.041667	3
398.2112	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
401.0582	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
405.0706	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
407.0852	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
408.1008	1	10	2	1779	1	0.4	0.95027	0.2	0.30018	4
409.8822	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
412.8957	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
416.9081	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
418.9227	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
419.9382	1	10	1	3114.6	1	0	0	0.6	0.6	1
423.0683	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
425.5989	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
429.6113	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
430.6269	1	10	2	1494.8	1	0	0	0.3	0.3	2
432.1254	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
436.3043	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
440.3167	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
441.3323	1	10	2	1268.4	1	0	0	0.4	0.4	3
442.6143	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
447.0762	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
454.1021	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
455.1177	1	10	1	1140.4	1	0	0	0.5	0.5	4
456.2665	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
459.7462	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
463.7752	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
464.7908	1	10	1	3380.9	1	0.8	0.6999	0.4	0.79959	1
468.1872	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
472.3828	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
476.3952	1	40	4	1736.6	1	n/a	n/a	n/a	n/a	n/a
478.4098	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
479.4254	1	10	1	2670.9	1	0.7	0.27979	0.7	0.65284	2
482.1059	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
486.3014	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
490.3138	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
492.3284	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
493.344	1	10	1	2438	1	0.6	0.039983	0.9	0.80997	3
495.7914	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
499.2544	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
503.2668	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
505.2814	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
506.297	1	10	2	7841.3	1	0.5	0.91204	0.2	0.31204	4
514.1553	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
518.6505	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
522.663	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
